"Nombre d'incendies suivant les critères de sélection : 2541"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;7530;"11";"11392";"Tournissan";"2025-01-16 18:57:00";25;0;25;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;8976;"83";"83071";"La Londe-les-Maures";"2025-01-17 16:53:00";100;100;0;0;0;0;;;;;"Estimées";"5";"Accidentelle";;;;;"Données partielles ou non valides"
2025;80;"34";"34178";"Murviel-lès-Béziers";"2025-01-18 11:33:00";1094;1094;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;209;"04";"04037";"Le Caire";"2025-01-18 14:00:00";10000;10000;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;21157;"43";"43233";"Sanssac-l'Église";"2025-01-18 15:33:00";3;3;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;8980;"83";"83065";"Gassin";"2025-01-18 21:36:00";1000;1000;0;0;0;0;;;;;"Estimées";"5";;"Non";;;;""
2025;1491;"13";"13001";"Aix-en-Provence";"2025-01-19 13:50:00";5;5;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;17026;"30";"30114";"Fontanès";"2025-01-19 14:58:00";88;88;0;;0;0;;;;;"Mesurées";;;"Non";0;0;0;""
2025;70;"34";"34274";"Saint-Martin-de-Londres";"2025-01-19 18:17:00";1;1;0;0;0;0;;;;;"Mesurées";"1";"Involontaire (particulier)";"Non";;;;""
2025;116;"05";"05070";"Laragne-Montéglin";"2025-01-20 16:45:00";2;0;2;0;0;0;;;;;"Estimées";"4";"Involontaire (particulier)";"Non";;;;""
2025;22446;"974";"97421";"Salazie";"2025-01-21 14:15:00";2300;2300;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;8983;"83";"83146";"La Verdière";"2025-01-22 00:40:00";10;10;0;0;0;0;;;;;"Estimées";"5";;"Non";;;;""
2025;211;"04";"04047";"Champtercier";"2025-01-24 14:44:00";640;640;0;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;1658;"39";"39495";"Saint-Thiébaud";"2025-01-24 17:45:00";1;1;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;164;"2B";"2B147";"Lozzi";"2025-01-25 16:44:00";5000;0;5000;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;1506;"13";"13063";"Miramas";"2025-01-25 17:32:00";1;1;0;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;165;"2B";"2B188";"Olmeta-di-Tuda";"2025-01-28 12:31:00";600;0;600;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;166;"2B";"2B113";"Ficaja";"2025-01-28 12:31:00";50;0;50;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;13314;"976";"97617";"Tsingoni";"2025-01-29 15:21:00";310000;220000;;0;90000;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;1659;"39";"39510";"Septmoncel les Molunes";"2025-01-30 20:12:00";10;10;;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;13310;"976";"97611";"Mamoudzou";"2025-02-03 06:30:00";420000;347000;;0;73000;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;7559;"11";"11176";"Jonquières";"2025-02-03 08:04:00";15;15;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;236;"05";"05046";"Embrun";"2025-02-03 11:08:00";3;0;3;0;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2025;7560;"11";"11037";"Berriac";"2025-02-03 22:33:00";2000;0;2000;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;213;"04";"04139";"Noyers-sur-Jabron";"2025-02-04 15:53:00";23200;23200;0;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;190;"34";"34078";"Claret";"2025-02-05 15:38:00";1648;1648;0;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;214;"04";"04070";"Digne-les-Bains";"2025-02-06 15:37:00";2000;2000;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;188;"34";"34286";"Saint-Privat";"2025-02-06 16:15:00";5720;5720;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;237;"05";"05068";"Jarjayes";"2025-02-06 17:36:00";150;0;150;0;0;0;;;;;"Estimées";"1";"Involontaire (travaux)";"Non";;;;""
2025;187;"34";"34200";"Pézènes-les-Mines";"2025-02-06 18:34:00";219;219;0;0;0;0;;;;;"Mesurées";"2";"Involontaire (travaux)";"Non";;;;""
2025;19224;"07";"07045";"Burzet";"2025-02-06 19:54:00";300;300;0;0;0;0;;;;;"Estimées";"3";"Malveillance";"Non";;;;""
2025;186;"34";"34006";"Aigne";"2025-02-07 15:53:00";1968;1968;0;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;1065;"26";"26117";"Échevis";"2025-02-07 21:08:00";10000;10000;0;0;0;0;;;;;"Estimées";"5";"Accidentelle";"Non";;;;""
2025;216;"04";"04217";"Thoard";"2025-02-10 13:57:00";190;190;0;0;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;13313;"976";"97603";"Bandrele";"2025-02-11 06:14:00";76000;46000;;0;30000;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;8990;"83";"83126";"La Seyne-sur-Mer";"2025-02-11 13:23:00";2;0;2;0;0;0;;;;;"Estimées";"2";;;;;;"Données partielles ou non valides"
2025;1511;"13";"13004";"Arles";"2025-02-12 02:22:00";1;0;1;0;0;0;;;;;"Estimées";;;"Non";;;;""
